complaint_text,department,category,priority,clean_text
Pipe joint leaking heavily near the cooperative bank branch.,Water Supply,Leakage,High,pipe joint leaking heavily near the cooperative bank branch.
Continuous seepage from underground pipe making road surface soft.,Water Supply,Leakage,High,continuous seepage from underground pipe making road surface soft.
Water bubbling through road cracks near municipal office compound.,Water Supply,Leakage,High,water bubbling through road cracks near municipal office compound.
Main water line damage causing low pressure in entire sector.,Water Supply,Leakage,High,main water line damage causing low pressure in entire sector.
Completely dry taps in our locality since Wednesday morning.,Water Supply,Shortage,High,completely dry taps in our locality since wednesday morning.
"No water for last 60 hours, this is inhuman treatment to citizens.",Water Supply,Shortage,High,"no water for last 60 hours, this is inhuman treatment to citizens."
Water crisis forcing senior citizens to climb stairs to neighbors for water.,Water Supply,Shortage,High,water crisis forcing senior citizens to climb stairs to neighbors for water.
"Tank completely empty, municipal supply has stopped coming completely.",Water Supply,Shortage,High,"tank completely empty, municipal supply has stopped coming completely."
Zero water making it impossible to cook or maintain hygiene.,Water Supply,Shortage,High,zero water making it impossible to cook or maintain hygiene.
Water supply stopped without notice affecting business operations.,Water Supply,Shortage,High,water supply stopped without notice affecting business operations.
"Desperate for water, taps have been absolutely dry for four days.",Water Supply,Shortage,High,"desperate for water, taps have been absolutely dry for four days."
"No water pressure at all, the taps dont even drip anymore.",Water Supply,Shortage,High,"no water pressure at all, the taps dont even drip anymore."
Severe water shortage in exam period affecting students preparation.,Water Supply,Shortage,High,severe water shortage in exam period affecting students preparation.
Water comes once in two days and that too for just 30 minutes.,Water Supply,Shortage,High,water comes once in two days and that too for just 30 minutes.
"Community tap also dry, no alternative water source available.",Water Supply,Shortage,High,"community tap also dry, no alternative water source available."
Hotel guests leaving bad reviews because of water unavailability.,Water Supply,Shortage,High,hotel guests leaving bad reviews because of water unavailability.
Construction workers leaving site because there is no water.,Water Supply,Shortage,High,construction workers leaving site because there is no water.
Cattle farm animals suffering without water for drinking.,Water Supply,Shortage,High,cattle farm animals suffering without water for drinking.
"Beauty parlor closed due to water shortage, business loss daily.",Water Supply,Shortage,High,"beauty parlor closed due to water shortage, business loss daily."
"No water in public toilet, people avoiding it completely.",Water Supply,Shortage,High,"no water in public toilet, people avoiding it completely."
"Water scarcity affecting local industries, workers being sent home.",Water Supply,Shortage,High,"water scarcity affecting local industries, workers being sent home."
"Morning rituals impossible without water, religious activities affected.",Water Supply,Shortage,High,"morning rituals impossible without water, religious activities affected."
Water supply problem ongoing for a month now with no improvement.,Water Supply,Shortage,High,water supply problem ongoing for a month now with no improvement.
Empty water drums everywhere as people wait for tanker that never comes.,Water Supply,Shortage,High,empty water drums everywhere as people wait for tanker that never comes.
Bakery cannot function because kneading dough needs water.,Water Supply,Shortage,High,bakery cannot function because kneading dough needs water.
Children going to school without bath due to no water at home.,Water Supply,Shortage,High,children going to school without bath due to no water at home.
Laundry business shut because water supply completely stopped.,Water Supply,Shortage,High,laundry business shut because water supply completely stopped.
Nursing home patients need water for medication but taps are dry.,Water Supply,Shortage,High,nursing home patients need water for medication but taps are dry.
Wedding in family but no water to prepare food for guests.,Water Supply,Shortage,High,wedding in family but no water to prepare food for guests.
Water crisis combined with summer heat is making life miserable.,Water Supply,Shortage,High,water crisis combined with summer heat is making life miserable.
Repeated complaints about water shortage but no resolution yet.,Water Supply,Shortage,High,repeated complaints about water shortage but no resolution yet.
Water tanker comes but empties before our turn in queue.,Water Supply,Shortage,High,water tanker comes but empties before our turn in queue.
"Public hand pump also broken, absolutely no water source works.",Water Supply,Shortage,High,"public hand pump also broken, absolutely no water source works."
Water shortage forcing people to buy bottled water for daily use.,Water Supply,Shortage,High,water shortage forcing people to buy bottled water for daily use.
Tap sound when turned on but absolutely no water flows.,Water Supply,Shortage,High,tap sound when turned on but absolutely no water flows.
Deep pothole exactly at the colony entrance creating bad impression.,Roads,Pothole,Medium,deep pothole exactly at the colony entrance creating bad impression.
Pothole near hospital causing pain to patients in ambulances.,Roads,Pothole,Medium,pothole near hospital causing pain to patients in ambulances.
Series of potholes from main road to our neighborhood entrance.,Roads,Pothole,Medium,series of potholes from main road to our neighborhood entrance.
Pothole filled with polluted water near vegetable sellers.,Roads,Pothole,Medium,pothole filled with polluted water near vegetable sellers.
Massive pothole where two lanes merge causing confusion and accidents.,Roads,Pothole,Medium,massive pothole where two lanes merge causing confusion and accidents.
Bike rider broke leg falling into unmarked pothole at night.,Roads,Pothole,Medium,bike rider broke leg falling into unmarked pothole at night.
Pothole repair request submitted online three months ago no action.,Roads,Pothole,Medium,pothole repair request submitted online three months ago no action.
Children playing near dangerous pothole not realizing the risk.,Roads,Pothole,Medium,children playing near dangerous pothole not realizing the risk.
Pothole right at bus stop platform forcing passengers to jump across.,Roads,Pothole,Medium,pothole right at bus stop platform forcing passengers to jump across.
Water collects in pothole and splashes on pedestrians when vehicles pass.,Roads,Pothole,Medium,water collects in pothole and splashes on pedestrians when vehicles pass.
Pothole has sharp edges that have cut multiple tyres already.,Roads,Pothole,Medium,pothole has sharp edges that have cut multiple tyres already.
Pothole disguised by fallen leaves near the park entrance.,Roads,Pothole,Medium,pothole disguised by fallen leaves near the park entrance.
Deep pothole at traffic signal causes vehicles to swerve suddenly.,Roads,Pothole,Medium,deep pothole at traffic signal causes vehicles to swerve suddenly.
Municipal election happening but potholes still not repaired.,Roads,Pothole,Medium,municipal election happening but potholes still not repaired.
New potholes appearing exactly where repairs were done recently.,Roads,Pothole,Medium,new potholes appearing exactly where repairs were done recently.
Pothole right outside the police station gate embarrassingly ignored.,Roads,Pothole,Medium,pothole right outside the police station gate embarrassingly ignored.
My pregnant wife experienced severe jolt from pothole on way to hospital.,Roads,Pothole,Medium,my pregnant wife experienced severe jolt from pothole on way to hospital.
Pothole at corner turning is invisible until vehicle is on it.,Roads,Pothole,Medium,pothole at corner turning is invisible until vehicle is on it.
Cattle grazing near pothole making road navigation very difficult.,Roads,Pothole,Medium,cattle grazing near pothole making road navigation very difficult.
Pothole blocking one entire lane of the two lane road.,Roads,Pothole,Medium,pothole blocking one entire lane of the two lane road.
Street hawkers avoiding pothole area but blocking rest of footpath.,Roads,Pothole,Medium,street hawkers avoiding pothole area but blocking rest of footpath.
Pothole in commercial area making customer parking very difficult.,Roads,Pothole,Medium,pothole in commercial area making customer parking very difficult.
Evening cricket match area has dangerous pothole edges.,Roads,Pothole,Medium,evening cricket match area has dangerous pothole edges.
Auto drivers charging extra because pothole route damages vehicle.,Roads,Pothole,Medium,auto drivers charging extra because pothole route damages vehicle.
Pothole created from manhole that was not sealed properly.,Roads,Pothole,Medium,pothole created from manhole that was not sealed properly.
Morning joggers complaining about potholes on jogging track road.,Roads,Pothole,Medium,morning joggers complaining about potholes on jogging track road.
Pothole in waiting area near bus stand filled with muddy water.,Roads,Pothole,Medium,pothole in waiting area near bus stand filled with muddy water.
Pothole widening daily as edges keep crumbling into the hole.,Roads,Pothole,Medium,pothole widening daily as edges keep crumbling into the hole.
School children running and nearly falling into road pothole.,Roads,Pothole,Medium,school children running and nearly falling into road pothole.
Pothole right at the wedding hall entrance very embarrassing for functions.,Roads,Pothole,Medium,pothole right at the wedding hall entrance very embarrassing for functions.
Complete road surface failure near the cement factory from heavy trucks.,Roads,Road Damage,Medium,complete road surface failure near the cement factory from heavy trucks.
Road breaking into pieces under overloaded goods vehicles weight.,Roads,Road Damage,Medium,road breaking into pieces under overloaded goods vehicles weight.
Newly constructed road showing cracks within first monsoon itself.,Roads,Road Damage,Medium,newly constructed road showing cracks within first monsoon itself.
Road damaged from repeated digging for underground cable laying.,Roads,Road Damage,Medium,road damaged from repeated digging for underground cable laying.
Surface has peeled off completely exposing base layer gravel.,Roads,Road Damage,Medium,surface has peeled off completely exposing base layer gravel.
Heavy vehicle damage has created corrugated washboard pattern.,Roads,Road Damage,Medium,heavy vehicle damage has created corrugated washboard pattern.
Road edges crumbling into the adjacent drain from erosion.,Roads,Road Damage,Medium,road edges crumbling into the adjacent drain from erosion.
Tar road has turned white from surface wearing off completely.,Roads,Road Damage,Medium,tar road has turned white from surface wearing off completely.
Road near river bridge damaged severely from flood water flow.,Roads,Road Damage,Medium,road near river bridge damaged severely from flood water flow.
Underground gas pipeline work has destroyed the road surface.,Roads,Road Damage,Medium,underground gas pipeline work has destroyed the road surface.
Road surface heaving upwards near tree roots creating bumps.,Roads,Road Damage,Medium,road surface heaving upwards near tree roots creating bumps.
Approach road to flyover completely damaged before even opening.,Roads,Road Damage,Medium,approach road to flyover completely damaged before even opening.
Colony road has more broken patches than intact surface now.,Roads,Road Damage,Medium,colony road has more broken patches than intact surface now.
Cracks in road allowing rainwater to seep and weaken foundation.,Roads,Road Damage,Medium,cracks in road allowing rainwater to seep and weaken foundation.
Road damage so severe that driving feels like off road adventure.,Roads,Road Damage,Medium,road damage so severe that driving feels like off road adventure.
Speed breaker has disintegrated into concrete rubble pile.,Roads,Road Damage,Medium,speed breaker has disintegrated into concrete rubble pile.
Road connecting two major areas completely unmaintained and broken.,Roads,Road Damage,Medium,road connecting two major areas completely unmaintained and broken.
Surface erosion has created channeled grooves in the road.,Roads,Road Damage,Medium,surface erosion has created channeled grooves in the road.
Road near garbage dump has collapsed from heavy truck traffic.,Roads,Road Damage,Medium,road near garbage dump has collapsed from heavy truck traffic.
Manhole sinking has created depression damaging surrounding road.,Roads,Road Damage,Medium,manhole sinking has created depression damaging surrounding road.
Vibration damage from metro construction has cracked nearby roads.,Roads,Road Damage,Medium,vibration damage from metro construction has cracked nearby roads.
Road patches by different agencies have created uneven surface.,Roads,Road Damage,Medium,road patches by different agencies have created uneven surface.
Kerb stones have shifted making road width irregular and confusing.,Roads,Road Damage,Medium,kerb stones have shifted making road width irregular and confusing.
Complete road reconstruction needed not just temporary repairs.,Roads,Road Damage,Medium,complete road reconstruction needed not just temporary repairs.
Road damage from last years flood still pending major repairs.,Roads,Road Damage,Medium,road damage from last years flood still pending major repairs.
Foundation failure causing entire road section to sink uniformly.,Roads,Road Damage,Medium,foundation failure causing entire road section to sink uniformly.
Street has more ruts than smooth surface making cycling impossible.,Roads,Road Damage,Medium,street has more ruts than smooth surface making cycling impossible.
Road damage causing vehicles to use service road creating congestion.,Roads,Road Damage,Medium,road damage causing vehicles to use service road creating congestion.
Drainage work has permanently damaged the road and never repaired.,Roads,Road Damage,Medium,drainage work has permanently damaged the road and never repaired.
Loose gravel from damaged road scattering everywhere creating hazard.,Roads,Road Damage,Medium,loose gravel from damaged road scattering everywhere creating hazard.
"Electricity has been off since morning, work from home ruined today.",Electricity,Power Cut,High,"electricity has been off since morning, work from home ruined today."
Power cut during peak afternoon heat is torture for elderly at home.,Electricity,Power Cut,High,power cut during peak afternoon heat is torture for elderly at home.
Complete darkness in our lane since the transformer failed yesterday.,Electricity,Power Cut,High,complete darkness in our lane since the transformer failed yesterday.
Power outage has frozen our business operations completely.,Electricity,Power Cut,High,power outage has frozen our business operations completely.
Frequent power cuts every evening just when cooking starts.,Electricity,Power Cut,High,frequent power cuts every evening just when cooking starts.
Power failure affecting water supply as pump house has no electricity.,Electricity,Power Cut,High,power failure affecting water supply as pump house has no electricity.
Medical equipment at home needs power but outage continuing for hours.,Electricity,Power Cut,High,medical equipment at home needs power but outage continuing for hours.
Power cut during school online exams caused automatic failure.,Electricity,Power Cut,High,power cut during school online exams caused automatic failure.
Night time power cut is dangerous in our crime prone locality.,Electricity,Power Cut,High,night time power cut is dangerous in our crime prone locality.
Sudden power cut caused computer to crash losing unsaved work.,Electricity,Power Cut,High,sudden power cut caused computer to crash losing unsaved work.
Power restored but with very low voltage damaging motor winding.,Electricity,Power Cut,High,power restored but with very low voltage damaging motor winding.
Commercial freezers defrosting due to extended power failure.,Electricity,Power Cut,High,commercial freezers defrosting due to extended power failure.
Power cut timings completely unpredictable affecting daily planning.,Electricity,Power Cut,High,power cut timings completely unpredictable affecting daily planning.
Electric stove users left without cooking option during power cut.,Electricity,Power Cut,High,electric stove users left without cooking option during power cut.
Power theft nearby causing frequent trips and outages in our area.,Electricity,Power Cut,High,power theft nearby causing frequent trips and outages in our area.
Transformer sparking before power went out suggests fire risk.,Electricity,Power Cut,High,transformer sparking before power went out suggests fire risk.
Power fluctuation causing TV and refrigerator compressor damage.,Electricity,Power Cut,High,power fluctuation causing tv and refrigerator compressor damage.
"No electricity for two consecutive days now, this is unacceptable.",Electricity,Power Cut,High,"no electricity for two consecutive days now, this is unacceptable."
Power cut combined with no mobile network leaving us completely cut off.,Electricity,Power Cut,High,power cut combined with no mobile network leaving us completely cut off.
Hospital generator fuel running out waiting for main power restoration.,Electricity,Power Cut,High,hospital generator fuel running out waiting for main power restoration.
Power restored to main road but interior lanes still without electricity.,Electricity,Power Cut,High,power restored to main road but interior lanes still without electricity.
Street light pole wires down after storm but no repair team sent yet.,Electricity,Power Cut,High,street light pole wires down after storm but no repair team sent yet.
Power outage affecting traffic signals at major junction creating chaos.,Electricity,Power Cut,High,power outage affecting traffic signals at major junction creating chaos.
Single phase supply when we need three phase for motor operation.,Electricity,Power Cut,High,single phase supply when we need three phase for motor operation.
Power failure every time there is slight wind or rain nowadays.,Electricity,Power Cut,High,power failure every time there is slight wind or rain nowadays.
Electricity bill is high but service quality is extremely poor.,Electricity,Power Cut,High,electricity bill is high but service quality is extremely poor.
Night vision cameras useless during power cut defeating security purpose.,Electricity,Power Cut,High,night vision cameras useless during power cut defeating security purpose.
Power cut affecting chemist cold chain storage medications at risk.,Electricity,Power Cut,High,power cut affecting chemist cold chain storage medications at risk.
Dialysis patient rushed to hospital as home machine stopped working.,Electricity,Power Cut,High,dialysis patient rushed to hospital as home machine stopped working.
Factory overtime cancelled due to evening power cut announcement.,Electricity,Power Cut,High,factory overtime cancelled due to evening power cut announcement.
Garbage overflowing from bins at the main market entrance.,Sanitation,Garbage,Low,garbage overflowing from bins at the main market entrance.
Sweeper has not visited our street in over ten days now.,Sanitation,Garbage,Low,sweeper has not visited our street in over ten days now.
Mixed waste including diapers and food rotting near playground.,Sanitation,Garbage,Low,mixed waste including diapers and food rotting near playground.
Garbage collection vehicle skips our lane saying road is narrow.,Sanitation,Garbage,Low,garbage collection vehicle skips our lane saying road is narrow.
Burning of garbage at vacant plot creating air pollution.,Sanitation,Garbage,Low,burning of garbage at vacant plot creating air pollution.
Dead rat carcass in garbage pile for three days spreading disease.,Sanitation,Garbage,Low,dead rat carcass in garbage pile for three days spreading disease.
Garbage dump too close to water tank raising contamination concern.,Sanitation,Garbage,Low,garbage dump too close to water tank raising contamination concern.
Street dogs living in garbage heap have become aggressive.,Sanitation,Garbage,Low,street dogs living in garbage heap have become aggressive.
Sweepers dumping waste into drain instead of taking to collection point.,Sanitation,Garbage,Low,sweepers dumping waste into drain instead of taking to collection point.
Garbage truck broke down in our area spilling waste everywhere.,Sanitation,Garbage,Low,garbage truck broke down in our area spilling waste everywhere.
Construction debris from building work dumped on public footpath.,Sanitation,Garbage,Low,construction debris from building work dumped on public footpath.
Food stall waste attracting flies and creating unhygienic conditions.,Sanitation,Garbage,Low,food stall waste attracting flies and creating unhygienic conditions.
Garbage collection only thrice a week is insufficient for our density.,Sanitation,Garbage,Low,garbage collection only thrice a week is insufficient for our density.
Overflowing dustbin near temple offending religious sentiments.,Sanitation,Garbage,Low,overflowing dustbin near temple offending religious sentiments.
Garden waste from tree trimming blocking entire footpath section.,Sanitation,Garbage,Low,garden waste from tree trimming blocking entire footpath section.
Used medical masks and gloves mixed with regular household garbage.,Sanitation,Garbage,Low,used medical masks and gloves mixed with regular household garbage.
Garbage pile blocking sunlight to ground floor windows.,Sanitation,Garbage,Low,garbage pile blocking sunlight to ground floor windows.
Night time garbage dumping by trucks creating morning mess.,Sanitation,Garbage,Low,night time garbage dumping by trucks creating morning mess.
Wedding function garbage still lying on road three days after.,Sanitation,Garbage,Low,wedding function garbage still lying on road three days after.
Garbage bin fire happened due to someone throwing burning item.,Sanitation,Garbage,Low,garbage bin fire happened due to someone throwing burning item.
Fish market waste creating unbearable smell in entire neighborhood.,Sanitation,Garbage,Low,fish market waste creating unbearable smell in entire neighborhood.
Segregated dry waste scattered by wind creating litter everywhere.,Sanitation,Garbage,Low,segregated dry waste scattered by wind creating litter everywhere.
Broken dustbin lying on road with contents spilled all around.,Sanitation,Garbage,Low,broken dustbin lying on road with contents spilled all around.
Night sweeping crew uses leaf blower pushing garbage to our house.,Sanitation,Garbage,Low,night sweeping crew uses leaf blower pushing garbage to our house.
Holiday garbage accumulation not cleared for four days straight.,Sanitation,Garbage,Low,holiday garbage accumulation not cleared for four days straight.
Poultry waste from nearby shop dumped openly near our residence.,Sanitation,Garbage,Low,poultry waste from nearby shop dumped openly near our residence.
Garbage collector absent so regularly we dont know actual schedule.,Sanitation,Garbage,Low,garbage collector absent so regularly we dont know actual schedule.
Oil waste from garage dumped in regular garbage creating fire hazard.,Sanitation,Garbage,Low,oil waste from garage dumped in regular garbage creating fire hazard.
Vegetable peel waste on road making surface slippery for pedestrians.,Sanitation,Garbage,Low,vegetable peel waste on road making surface slippery for pedestrians.
Garbage overload near new residential colony as bins not yet installed.,Sanitation,Garbage,Low,garbage overload near new residential colony as bins not yet installed.
Water pipe burst causing flooding in basement and damaging stored goods.,Water Supply,Leakage,High,water pipe burst causing flooding in basement and damaging stored goods.
Main line leak creating water shortage downstream as all water escaping.,Water Supply,Leakage,High,main line leak creating water shortage downstream as all water escaping.
Pipe damage from construction work nobody taking responsibility to repair.,Water Supply,Leakage,High,pipe damage from construction work nobody taking responsibility to repair.
Water flowing onto main road from broken underground connection.,Water Supply,Leakage,High,water flowing onto main road from broken underground connection.
Leaking joint at water meter causing billing dispute and water waste.,Water Supply,Leakage,High,leaking joint at water meter causing billing dispute and water waste.
New pipeline already leaking from poor quality material used.,Water Supply,Leakage,High,new pipeline already leaking from poor quality material used.
Water gushing from valve pit at distribution main near park.,Water Supply,Leakage,High,water gushing from valve pit at distribution main near park.
Burst pipe during water tanker filling causing chaos at station.,Water Supply,Leakage,High,burst pipe during water tanker filling causing chaos at station.
Leakage from rooftop tank overflowing onto neighbor building.,Water Supply,Leakage,High,leakage from rooftop tank overflowing onto neighbor building.
Municipal pipe burst flooding new pavement just constructed last month.,Water Supply,Leakage,High,municipal pipe burst flooding new pavement just constructed last month.
Water seeping through wall from adjacent supply line damage inside wall.,Water Supply,Leakage,High,water seeping through wall from adjacent supply line damage inside wall.
Main pipeline valve failure causing uncontrolled water release.,Water Supply,Leakage,High,main pipeline valve failure causing uncontrolled water release.
Pipe repair site creating more leakage than original problem had.,Water Supply,Leakage,High,pipe repair site creating more leakage than original problem had.
Heavy leakage at night when pressure is high going unnoticed till morning.,Water Supply,Leakage,High,heavy leakage at night when pressure is high going unnoticed till morning.
Underground pipe leak causing sinkhole formation in road surface.,Water Supply,Leakage,High,underground pipe leak causing sinkhole formation in road surface.
Water meter area constantly flooded from internal leak somewhere.,Water Supply,Leakage,High,water meter area constantly flooded from internal leak somewhere.
Branch connection pipe burst affecting multiple households water supply.,Water Supply,Leakage,High,branch connection pipe burst affecting multiple households water supply.
Leaking water mixing with drain water at broken pipe location.,Water Supply,Leakage,High,leaking water mixing with drain water at broken pipe location.
Entire water budget wasted from massive leak at main distribution point.,Water Supply,Leakage,High,entire water budget wasted from massive leak at main distribution point.
Pipe burst exactly at festival time when water demand was highest.,Water Supply,Leakage,High,pipe burst exactly at festival time when water demand was highest.
No water crisis would exist if leaking pipes were repaired on time.,Water Supply,Leakage,High,no water crisis would exist if leaking pipes were repaired on time.
Water coming from underground through road cracks suggests deep pipe damage.,Water Supply,Leakage,High,water coming from underground through road cracks suggests deep pipe damage.
Old brittle pipeline bursting repeatedly at different locations.,Water Supply,Leakage,High,old brittle pipeline bursting repeatedly at different locations.
Water supply erratic because main line has multiple leak points.,Water Supply,Leakage,High,water supply erratic because main line has multiple leak points.
Tank overflow continuous as inlet valve is stuck causing massive wastage.,Water Supply,Leakage,High,tank overflow continuous as inlet valve is stuck causing massive wastage.
Pipeline crossing drain has corroded and now leaking into dirty water.,Water Supply,Leakage,High,pipeline crossing drain has corroded and now leaking into dirty water.
Water loss from leaks exceeds actual water supplied to consumers.,Water Supply,Leakage,High,water loss from leaks exceeds actual water supplied to consumers.
Burst pipe at pump station outlet reducing pressure in entire network.,Water Supply,Leakage,High,burst pipe at pump station outlet reducing pressure in entire network.
Joint between old and new pipe sections failing repeatedly.,Water Supply,Leakage,High,joint between old and new pipe sections failing repeatedly.
Water department says they fixed leak but same spot leaking again.,Water Supply,Leakage,High,water department says they fixed leak but same spot leaking again.
Tank water finished three days ago and no supply coming from corporation.,Water Supply,Shortage,High,tank water finished three days ago and no supply coming from corporation.
Water connection exists but line seems completely empty for days.,Water Supply,Shortage,High,water connection exists but line seems completely empty for days.
Queue at community tap starts at 4 AM still many return empty.,Water Supply,Shortage,High,queue at community tap starts at 4 am still many return empty.
Water crisis affecting religious events like pooja and rituals daily.,Water Supply,Shortage,High,water crisis affecting religious events like pooja and rituals daily.
Factory had to import water tankers affecting production cost badly.,Water Supply,Shortage,High,factory had to import water tankers affecting production cost badly.
School sent children home because toilets had no water at all.,Water Supply,Shortage,High,school sent children home because toilets had no water at all.
Water rationing promised but even that small allocation not coming.,Water Supply,Shortage,High,water rationing promised but even that small allocation not coming.
Pregnant ladies struggling to carry water from distant source.,Water Supply,Shortage,High,pregnant ladies struggling to carry water from distant source.
Marriage function guests had to be served bottled water costing lakhs.,Water Supply,Shortage,High,marriage function guests had to be served bottled water costing lakhs.
Local pond dried up which was backup during municipal water failure.,Water Supply,Shortage,High,local pond dried up which was backup during municipal water failure.
Water shortage news reached TV channels before reaching water department.,Water Supply,Shortage,High,water shortage news reached tv channels before reaching water department.
Water vendor black market flourishing because official supply zero.,Water Supply,Shortage,High,water vendor black market flourishing because official supply zero.
Morning water schedule missed means entire day goes without water.,Water Supply,Shortage,High,morning water schedule missed means entire day goes without water.
Water storage tanks rusting as they remain empty for weeks together.,Water Supply,Shortage,High,water storage tanks rusting as they remain empty for weeks together.
Community bore well also failed leaving no alternative water source.,Water Supply,Shortage,High,community bore well also failed leaving no alternative water source.
Water scarcity making it impossible to even flush toilets regularly.,Water Supply,Shortage,High,water scarcity making it impossible to even flush toilets regularly.
Paying property tax but not getting basic water supply is injustice.,Water Supply,Shortage,High,paying property tax but not getting basic water supply is injustice.
Even rainwater harvesting tank empty due to unpredictable weather.,Water Supply,Shortage,High,even rainwater harvesting tank empty due to unpredictable weather.
Water crisis ongoing since last summer with no permanent solution yet.,Water Supply,Shortage,High,water crisis ongoing since last summer with no permanent solution yet.
Public health emergency should be declared for water shortage severity.,Water Supply,Shortage,High,public health emergency should be declared for water shortage severity.
Pothole on highway exit ramp causing traffic backup during rush hour.,Roads,Pothole,Medium,pothole on highway exit ramp causing traffic backup during rush hour.
Pothole repair quality so poor it fails within one monsoon season.,Roads,Pothole,Medium,pothole repair quality so poor it fails within one monsoon season.
Bike race practice impossible due to pothole studded race route.,Roads,Pothole,Medium,bike race practice impossible due to pothole studded race route.
Pothole exactly where drainage water collects making it invisible.,Roads,Pothole,Medium,pothole exactly where drainage water collects making it invisible.
Pothole causing daily vehicle breakdown near the garage conveniently.,Roads,Pothole,Medium,pothole causing daily vehicle breakdown near the garage conveniently.
Evening walk route ruined by multiple potholes on footpath.,Roads,Pothole,Medium,evening walk route ruined by multiple potholes on footpath.
Pothole near lamp post means no light to see it at night.,Roads,Pothole,Medium,pothole near lamp post means no light to see it at night.
Garbage thrown into pothole making it shallower but more dirty.,Roads,Pothole,Medium,garbage thrown into pothole making it shallower but more dirty.
Pothole filled by locals with bricks but needs proper repair.,Roads,Pothole,Medium,pothole filled by locals with bricks but needs proper repair.
Pothole map of our area would show more holes than road surface.,Roads,Pothole,Medium,pothole map of our area would show more holes than road surface.
Monsoon rain has exposed potholes that were temporarily filled.,Roads,Pothole,Medium,monsoon rain has exposed potholes that were temporarily filled.
Pothole location coincides with water pipe location underneath road.,Roads,Pothole,Medium,pothole location coincides with water pipe location underneath road.
Pothole right where speed breaker should have been instead.,Roads,Pothole,Medium,pothole right where speed breaker should have been instead.
Oil tanker got stuck in pothole blocking petrol pump entrance.,Roads,Pothole,Medium,oil tanker got stuck in pothole blocking petrol pump entrance.
Pothole at pedestrian crossing making disabled access impossible.,Roads,Pothole,Medium,pothole at pedestrian crossing making disabled access impossible.
JCB used for pothole repair damaged more road than it fixed.,Roads,Pothole,Medium,jcb used for pothole repair damaged more road than it fixed.
Pothole position changes after every repair like moving target.,Roads,Pothole,Medium,pothole position changes after every repair like moving target.
Delivery drivers avoiding our lane because of pothole conditions.,Roads,Pothole,Medium,delivery drivers avoiding our lane because of pothole conditions.
Pothole causing splashing and dirtying pedestrians during rain.,Roads,Pothole,Medium,pothole causing splashing and dirtying pedestrians during rain.
Commuters memorize pothole locations to navigate daily safely.,Roads,Pothole,Medium,commuters memorize pothole locations to navigate daily safely.
Road reconstruction project incomplete leaving surface half damaged.,Roads,Road Damage,Medium,road reconstruction project incomplete leaving surface half damaged.
Base layer exposed after tar peeled off completely from road surface.,Roads,Road Damage,Medium,base layer exposed after tar peeled off completely from road surface.
Cement concrete road breaking into large slab pieces separating.,Roads,Road Damage,Medium,cement concrete road breaking into large slab pieces separating.
Road near construction site ruined from heavy machinery movement.,Roads,Road Damage,Medium,road near construction site ruined from heavy machinery movement.
Footpath edge damaged causing trip hazard for pedestrians walking.,Roads,Road Damage,Medium,footpath edge damaged causing trip hazard for pedestrians walking.
Road surface depression from underground pipe installation work.,Roads,Road Damage,Medium,road surface depression from underground pipe installation work.
Entire lane need blacktopping as surface coating completely gone.,Roads,Road Damage,Medium,entire lane need blacktopping as surface coating completely gone.
Road texture so rough vehicle paint scratching from stone spray.,Roads,Road Damage,Medium,road texture so rough vehicle paint scratching from stone spray.
Highway quality road reduced to village track condition now.,Roads,Road Damage,Medium,highway quality road reduced to village track condition now.
Road damage visible from satellite images it is so extensive.,Roads,Road Damage,Medium,road damage visible from satellite images it is so extensive.
Layered cracks pattern indicates complete road structure failure.,Roads,Road Damage,Medium,layered cracks pattern indicates complete road structure failure.
Road surface undulating making speed control very difficult.,Roads,Road Damage,Medium,road surface undulating making speed control very difficult.
Tar smell from melting surface during extreme summer heat damage.,Roads,Road Damage,Medium,tar smell from melting surface during extreme summer heat damage.
Road never repaired after underground cable work two years ago.,Roads,Road Damage,Medium,road never repaired after underground cable work two years ago.
Water stagnation in road damage depressions creating mosquito issue.,Roads,Road Damage,Medium,water stagnation in road damage depressions creating mosquito issue.
Multiple agencies dig same road leaving permanently damaged surface.,Roads,Road Damage,Medium,multiple agencies dig same road leaving permanently damaged surface.
Morning traffic damages road further due to soft tar in hot weather.,Roads,Road Damage,Medium,morning traffic damages road further due to soft tar in hot weather.
Road profile completely changed from repairs at different levels.,Roads,Road Damage,Medium,road profile completely changed from repairs at different levels.
Expansion joints in concrete road have failed creating bumps.,Roads,Road Damage,Medium,expansion joints in concrete road have failed creating bumps.
Road damage so bad that property values have decreased noticeably.,Roads,Road Damage,Medium,road damage so bad that property values have decreased noticeably.
Power cut again for the fifth time today within office hours.,Electricity,Power Cut,High,power cut again for the fifth time today within office hours.
Voltage drops so low that lights dim but dont go completely off.,Electricity,Power Cut,High,voltage drops so low that lights dim but dont go completely off.
Power restoration promised keeps getting postponed every few hours.,Electricity,Power Cut,High,power restoration promised keeps getting postponed every few hours.
Electricity meter box making crackling sounds before power fails.,Electricity,Power Cut,High,electricity meter box making crackling sounds before power fails.
Power cut duration increasing each time from hours to now full day.,Electricity,Power Cut,High,power cut duration increasing each time from hours to now full day.
Substation capacity insufficient for growing electricity demand.,Electricity,Power Cut,High,substation capacity insufficient for growing electricity demand.
